0.19684716 0.6048043 ,0.2600829 0.6065161,0.23563783 0.5991424 
0.20026381 0.5842658 ,0.26815167 0.55511796,0.2627504  0.52080417
0.20490281 0.5774733 ,0.27922663 0.5572706 ,0.25150147 0.52366877
0.22225755 0.5721169 ,0.32391727 0.55873036,0.35090974 0.5182356 
0.23505244 0.56740916,0.34018943 0.56187946,0.43405774 0.55785525
0.23710726 0.5744336 ,0.32868037 0.57251877,0.4182226 0.5545711
0.23318908 0.57647914,0.32376048 0.5779607 ,0.42744973 0.57946223
0.22577119 0.57597345,0.32042503 0.5810978 ,0.41855946 0.5865046 
0.22867616 0.572698  ,0.3286244  0.57373744,0.42968503 0.5683518 
0.23665892 0.5708929 ,0.3470174 0.5614179,0.41328755 0.5504931 
0.25983956 0.5735101 ,0.33441663 0.56296074,0.3965346 0.5454987
0.2609148 0.5863204,0.35079446 0.5648058 ,0.42788744 0.55104   
0.23514086 0.5948489 ,0.2704275  0.59028614,0.25463292 0.56434065
0.21964327 0.5974121 ,0.25978446 0.58076173,0.23926638 0.5509883 
0.22357354 0.59157   ,0.2863353 0.5401663,0.23676036 0.49768823
0.24703933 0.58206546,0.32541302 0.5481252 ,0.35210082 0.5092641 
0.26690784 0.59329456,0.33731943 0.5551399 ,0.37684765 0.52164465
0.2591554 0.59138  ,0.33163846 0.55718535,0.35608128 0.51378304
0.25193033 0.5932552 ,0.32452866 0.5577422 ,0.35547698 0.5122296 
0.24819264 0.59988964,0.32280695 0.5636166 ,0.35362577 0.5207828 
0.24645954 0.606726  ,0.31958684 0.57198143,0.38564217 0.5411717 
0.2511981 0.6079377,0.33662906 0.5769057 ,0.41448912 0.56080806
0.24245454 0.61328727,0.3392315 0.6021494,0.43059698 0.5884675 
0.23403841 0.6117131 ,0.3478647 0.6111522,0.44828457 0.6026829 
0.23488913 0.61558956,0.34799004 0.62096053,0.4610727  0.62078714
0.24234425 0.61588764,0.3599056  0.62195665,0.4630879  0.62333226
0.2496289 0.6110323,0.3627728 0.6201561,0.47331837 0.62355673
0.25558266 0.6108972 ,0.3696426  0.61836123,0.48042992 0.6228558 
0.24650861 0.6107046 ,0.35685983 0.618958  ,0.45884013 0.6214167 
0.24701221 0.60706586,0.35377383 0.6199352 ,0.445263  0.6222652
0.24954282 0.60638964,0.36135268 0.61567706,0.46393818 0.62562126
0.24461913 0.6046738 ,0.3517516  0.61592525,0.45880067 0.63111484
0.24798998 0.6052823 ,0.3489997  0.60986227,0.4509156 0.6288727
0.25344595 0.5968319 ,0.35100842 0.5981731 ,0.3893146  0.61794233
0.26993078 0.59358203,0.36843807 0.59796196,0.42617342 0.6224911 
0.2885945 0.5995761,0.38728333 0.6053406 ,0.4584795 0.6250312
0.30242854 0.6085577 ,0.3950376  0.59880024,0.45596376 0.6221873 
0.32989526 0.61146283,0.42448512 0.60794646,0.50057894 0.61574787
0.36579874 0.6111329 ,0.45494822 0.6084675 ,0.5245978 0.6129508
0.41125262 0.6053117 ,0.49511367 0.60875183,0.55316836 0.61193025
0.4180422  0.60275394,0.50182277 0.60584694,0.5423729  0.60940754
0.41622913 0.60382247,0.49413553 0.60843426,0.5042289 0.60612  
0.19684716 0.6048043 ,0.2600829 0.6065161,0.23563783 0.5991424 
0.20026381 0.5842658 ,0.26815167 0.55511796,0.2627504  0.52080417
0.20490281 0.5774733 ,0.27922663 0.5572706 ,0.25150147 0.52366877
0.22225755 0.5721169 ,0.32391727 0.55873036,0.35090974 0.5182356 
0.23505244 0.56740916,0.34018943 0.56187946,0.43405774 0.55785525
0.23710726 0.5744336 ,0.32868037 0.57251877,0.4182226 0.5545711
0.23318908 0.57647914,0.32376048 0.5779607 ,0.42744973 0.57946223
0.22577119 0.57597345,0.32042503 0.5810978 ,0.41855946 0.5865046 
0.22867616 0.572698  ,0.3286244  0.57373744,0.42968503 0.5683518 
0.23665892 0.5708929 ,0.3470174 0.5614179,0.41328755 0.5504931 
0.25983956 0.5735101 ,0.33441663 0.56296074,0.3965346 0.5454987
0.2609148 0.5863204,0.35079446 0.5648058 ,0.42788744 0.55104   
0.23514086 0.5948489 ,0.2704275  0.59028614,0.25463292 0.56434065
0.21964327 0.5974121 ,0.25978446 0.58076173,0.23926638 0.5509883 
0.22357354 0.59157   ,0.2863353 0.5401663,0.23676036 0.49768823
0.24703933 0.58206546,0.32541302 0.5481252 ,0.35210082 0.5092641 
0.26690784 0.59329456,0.33731943 0.5551399 ,0.37684765 0.52164465
0.2591554 0.59138  ,0.33163846 0.55718535,0.35608128 0.51378304
0.25193033 0.5932552 ,0.32452866 0.5577422 ,0.35547698 0.5122296 
0.24819264 0.59988964,0.32280695 0.5636166 ,0.35362577 0.5207828 
0.24645954 0.606726  ,0.31958684 0.57198143,0.38564217 0.5411717 
0.2511981 0.6079377,0.33662906 0.5769057 ,0.41448912 0.56080806
0.24245454 0.61328727,0.3392315 0.6021494,0.43059698 0.5884675 
0.23403841 0.6117131 ,0.3478647 0.6111522,0.44828457 0.6026829 
0.23488913 0.61558956,0.34799004 0.62096053,0.4610727  0.62078714
0.24234425 0.61588764,0.3599056  0.62195665,0.4630879  0.62333226
0.2496289 0.6110323,0.3627728 0.6201561,0.47331837 0.62355673
0.25558266 0.6108972 ,0.3696426  0.61836123,0.48042992 0.6228558 
0.24650861 0.6107046 ,0.35685983 0.618958  ,0.45884013 0.6214167 
0.24701221 0.60706586,0.35377383 0.6199352 ,0.445263  0.6222652
0.24954282 0.60638964,0.36135268 0.61567706,0.46393818 0.62562126
0.24461913 0.6046738 ,0.3517516  0.61592525,0.45880067 0.63111484
0.24798998 0.6052823 ,0.3489997  0.60986227,0.4509156 0.6288727
0.25344595 0.5968319 ,0.35100842 0.5981731 ,0.3893146  0.61794233
0.26993078 0.59358203,0.36843807 0.59796196,0.42617342 0.6224911 
0.2885945 0.5995761,0.38728333 0.6053406 ,0.4584795 0.6250312
0.30242854 0.6085577 ,0.3950376  0.59880024,0.45596376 0.6221873 
0.32989526 0.61146283,0.42448512 0.60794646,0.50057894 0.61574787
0.36579874 0.6111329 ,0.45494822 0.6084675 ,0.5245978 0.6129508
0.41125262 0.6053117 ,0.49511367 0.60875183,0.55316836 0.61193025
0.4180422  0.60275394,0.50182277 0.60584694,0.5423729  0.60940754
0.41622913 0.60382247,0.49413553 0.60843426,0.5042289 0.60612  
0.19684716 0.6048043 ,0.2600829 0.6065161,0.23563783 0.5991424 
0.20026381 0.5842658 ,0.26815167 0.55511796,0.2627504  0.52080417
0.20490281 0.5774733 ,0.27922663 0.5572706 ,0.25150147 0.52366877
0.22225755 0.5721169 ,0.32391727 0.55873036,0.35090974 0.5182356 
0.23505244 0.56740916,0.34018943 0.56187946,0.43405774 0.55785525
0.23710726 0.5744336 ,0.32868037 0.57251877,0.4182226 0.5545711
0.23318908 0.57647914,0.32376048 0.5779607 ,0.42744973 0.57946223
0.22577119 0.57597345,0.32042503 0.5810978 ,0.41855946 0.5865046 
0.22867616 0.572698  ,0.3286244  0.57373744,0.42968503 0.5683518 
0.23665892 0.5708929 ,0.3470174 0.5614179,0.41328755 0.5504931 
0.25983956 0.5735101 ,0.33441663 0.56296074,0.3965346 0.5454987
0.2609148 0.5863204,0.35079446 0.5648058 ,0.42788744 0.55104   
0.23514086 0.5948489 ,0.2704275  0.59028614,0.25463292 0.56434065
0.21964327 0.5974121 ,0.25978446 0.58076173,0.23926638 0.5509883 
0.22357354 0.59157   ,0.2863353 0.5401663,0.23676036 0.49768823
0.24703933 0.58206546,0.32541302 0.5481252 ,0.35210082 0.5092641 
0.26690784 0.59329456,0.33731943 0.5551399 ,0.37684765 0.52164465
0.2591554 0.59138  ,0.33163846 0.55718535,0.35608128 0.51378304
0.25193033 0.5932552 ,0.32452866 0.5577422 ,0.35547698 0.5122296 
0.24819264 0.59988964,0.32280695 0.5636166 ,0.35362577 0.5207828 
0.24645954 0.606726  ,0.31958684 0.57198143,0.38564217 0.5411717 
0.2511981 0.6079377,0.33662906 0.5769057 ,0.41448912 0.56080806
0.24245454 0.61328727,0.3392315 0.6021494,0.43059698 0.5884675 
0.23403841 0.6117131 ,0.3478647 0.6111522,0.44828457 0.6026829 
0.23488913 0.61558956,0.34799004 0.62096053,0.4610727  0.62078714
0.24234425 0.61588764,0.3599056  0.62195665,0.4630879  0.62333226
0.2496289 0.6110323,0.3627728 0.6201561,0.47331837 0.62355673
0.25558266 0.6108972 ,0.3696426  0.61836123,0.48042992 0.6228558 
0.24650861 0.6107046 ,0.35685983 0.618958  ,0.45884013 0.6214167 
0.24701221 0.60706586,0.35377383 0.6199352 ,0.445263  0.6222652
0.24954282 0.60638964,0.36135268 0.61567706,0.46393818 0.62562126
0.24461913 0.6046738 ,0.3517516  0.61592525,0.45880067 0.63111484
0.24798998 0.6052823 ,0.3489997  0.60986227,0.4509156 0.6288727
0.25344595 0.5968319 ,0.35100842 0.5981731 ,0.3893146  0.61794233
0.26993078 0.59358203,0.36843807 0.59796196,0.42617342 0.6224911 
0.2885945 0.5995761,0.38728333 0.6053406 ,0.4584795 0.6250312
0.30242854 0.6085577 ,0.3950376  0.59880024,0.45596376 0.6221873 
0.32989526 0.61146283,0.42448512 0.60794646,0.50057894 0.61574787
0.36579874 0.6111329 ,0.45494822 0.6084675 ,0.5245978 0.6129508
0.41125262 0.6053117 ,0.49511367 0.60875183,0.55316836 0.61193025
0.4180422  0.60275394,0.50182277 0.60584694,0.5423729  0.60940754
0.41622913 0.60382247,0.49413553 0.60843426,0.5042289 0.60612  
0.19684716 0.6048043 ,0.2600829 0.6065161,0.23563783 0.5991424 
0.20026381 0.5842658 ,0.26815167 0.55511796,0.2627504  0.52080417
0.20490281 0.5774733 ,0.27922663 0.5572706 ,0.25150147 0.52366877
0.22225755 0.5721169 ,0.32391727 0.55873036,0.35090974 0.5182356 
0.23505244 0.56740916,0.34018943 0.56187946,0.43405774 0.55785525
0.23710726 0.5744336 ,0.32868037 0.57251877,0.4182226 0.5545711
0.23318908 0.57647914,0.32376048 0.5779607 ,0.42744973 0.57946223
0.22577119 0.57597345,0.32042503 0.5810978 ,0.41855946 0.5865046 
0.22867616 0.572698  ,0.3286244  0.57373744,0.42968503 0.5683518 
